Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),C.P.,Población,Provincia,Zona,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
BdT Área Metropolitna de Tenerife,,Grupo/colectivo,Banco de tiempo - Municipal,"Avda. Trinidad, Bloque 15. ",Local de la Fed. Ecologista Ben Magec. Bajo izq.,38204,La Laguna,Santa Cruz de Tenerife,Área metropolitana y municipios cercanos. ,28.4702191,-16.2742802, 661 181 235 (Esther),616 629 161 (Cristina),,btiemposctenerife@hotmail.es,,https://communities.cyclos.org/tenerife#home,,2010,,"El Banco del Tiempo del Área Metropolitana de Tenerife, promueve intercambios de servicios y productos, pagados con tiempo, entre usuarios mayores de edad (socios), que estén dados de alta en el sistema. 

Ofrece la oportunidad de que la gente se conozca y confíe en los demás para resolver necesidades de la vida diaria, de esta forma se intenta mejorar la calidad de vida de las personas y dinamizar la vida local.",,,,,,,,,,,2014-04-30 08:07:52
BdT Asociación AKIBA,,Asociación,Banco de tiempo - Municipal,"C/ Manuel Cano, 1",,18320,Santa Fe,Granada,,37.1918657,-3.7093813,958 440 680,,,info@akiba.org.es,,,,None,,,,,,,,,,,,,2013-12-04 09:36:01
BdT Asociación Amalgama Social,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Real 59, 1º - Sede NB Psicología,28400,Collado Villalba,Madrid,,40.6315194,-4.0049714,603 804 341,,,info@amalgamasocial.org,,,,None,,,,,,,,,,,,,2013-12-04 09:37:35
BdT Asociación Tierra Aurinko,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Fernando VI, s/n",,28830,San Fernando De Henares,Madrid,,40.4254336,-3.5314076,914 851 407 / 606 204 108,,,tierraurinko@gmail.com,,,,None,,,,,,,,,,,,,2013-12-04 09:39:36
BdT Badalona,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Badalona,Barcelona,,41.4469883,2.2450325,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:43:15
BdT Baja Ribagorza,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Horno, 10 - Casa Luisa",,22439,Secastilla,Huesca,,42.1866219,0.2526163,974 551 242 / 630 172 405,,,amerijoe@hotmail.com,antocina3@gmail.com,,,None,,,,,,,,,,,,,2013-06-07 19:43:25
BdT Casco Viejo de Pamplona,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Aldapa, 3-5",,31001,Pamplona,Pamplona,,42.8194823,-1.6435014,644 443 101,,,bdtpamplona@bdtpamplona.org,,,,None,,,,,,,,,,,,,2013-06-07 19:43:44
BdT CEAIN,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Cartuja, 2",1º B,11401,Jerez De La Frontera,Málaga,,36.6808368,-6.1299526,956 349 585 / 956 330 926,,,bancodeltiempoceain@acoge.org,,,,None,,,,,,,,,,,,,2013-06-09 23:46:31
BdT Centro de mayores mediterráneo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Picos, s/n",,4004,Almería,Almería,,40.38,-3.86,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:44:25
BdT Córdoba Acoge,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Músico Ziryab, 10",,14005,Córdoba,Córdoba,,37.8861218,-4.7923983,957 230 838,,,bancodeltiempo@cordoba-acoge.com,,,,None,,,,,,,,,,,,,2013-06-07 19:44:37
BdT d'Horta,,Grupo/colectivo,Banco de tiempo - Municipal,"Plaça Santes Creus, 8", Centre Serveis Socials,08031,Barcelona,Barcelona,,41.4303108,2.1622215,,,,bdthorta@gmail.com,,,,None,,,,,,,,,,,,,2013-06-09 23:06:34
BdT de  Antequera,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Mesones, 5 Bjos.",,29200,Antequera,Málaga,,37.020001,-4.5593676,952 739 695,,,bancodetiempodeantequera@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:45:00
BdT de Abegondo,,Grupo/colectivo,Banco de tiempo - Municipal,,,15318,Abegondo,A Coruña,,43.2191196,-8.2979048,981 647 909,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:45:17
BdT de Alaró,,Grupo/colectivo,Banco de tiempo - Municipal,"Placeta Son Togores, 1",,07340,Alaró,Palma de Mallorca,,39.7077604,2.7895104,971 518 757,,,,,,,None,,,,,,,,,,,,,2013-06-10 00:03:57
BdT de Albacete,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Arquitecto Vandelvira, 73",sala 4,2003,Albacete,Albacete,,38.9901709,-1.8661602,,,,bdtalbacete@gmail.com,,,,None,,,,,,,,,,,,,2013-10-28 09:01:40
BdT de Alburquerque,,Grupo/colectivo,Banco de tiempo - Municipal,,Apdo. de Correos 21,6510,Alburquerque,Badajoz,,38.9211919,-6.3373143,924 105 901 / 607 647 213,,,cala@nodo50.org,,,,None,,,,,,,,,,,,,2013-06-09 23:50:14
BdT de Alcalá de Henares,,Grupo/colectivo,Banco de tiempo - Municipal,"Travesía de las Siete Esquinas, 2",,28801,Alcalá De Henares,Madrid,,40.4795438,-3.3676134,918 771 720 / 918 788 109,,,cmujeralcala@ayto-alcaladehenares.es,,,,None,,,,,,,,,,,,,2013-06-07 19:45:44
BdT de Alcañiz,,Grupo/colectivo,Banco de tiempo - Municipal,,,,,Teruel,,40.341839,-1.103675,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:46:26
BdT de Alcorcón,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Copenhague, 57",,28922,Alcorcón,Madrid,,40.3429393,-3.8462533,916 891 756 / 916 419 840,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:46:30
BdT de Aldea Bierzo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Ángel Basante, 15, 2ª pl.",,24540,Cacabelos León,León,,42.5987263,-5.5670959,987 549 359,,,aldeabierzo@hotmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:46:37
BdT de Alfaz del Pi,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Gabriel Miró, 3",,,,Alicante,,38.3430705,-0.4847656,965887598 /  685 285 66,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:46:41
BdT de Algeciras,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Regino Martínez, 3 - As. De Mujeres Progresistas",,11201,Algeciras,Cádiz,,36.1357631,-5.4397825,956 633 299,,,asociacion@ampvictoriakent.org,,,,None,,,,,,,,,,,,,2013-06-07 19:46:48
Bdt de Alhama de Murcia,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de la Constitución, s/n",,30840,Alhama De Murcia,Murcia,,37.8513564,-1.4265832,968 630 000,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:46:53
BdT de Alicante,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Hércules, 28 - bajo",,03006,Alicante,Alicante,,38.347014,-0.511628,965 259 460,,,banco.tiempo@alicante-ayto.es,,,,2000,,,,,,,,,,,,,2014-08-11 10:04:15
BdT de Aljarafe,,Asociación,Banco de tiempo - Municipal,Centro de Adultos. c/ de la Fuente s/n,Gelves,41120,Gelves,Sevilla,Aljarafe (Sevilla),37.3409234,-6.0262352,955 762 943/ 954 180 811 / 955 761 184,,,bancodeltiempoaljarafe@gmail.com,,,,2011,,"Asociación sin ánimo de lucro. El objetivo que persigue es facilitar e impulsar el conocimiento y contacto humano entre personas próximas por vecindad o comunidad de intereses, fomentando el espíritu altruista, la generosidad e interdependencia.",,,,,,,,,,,2013-10-15 17:52:31
BdT de Allariz,,Grupo/colectivo,Banco de tiempo - Municipal,"Rúa do Portelo, 4, baixo",,32660,Allariz,Orense,,42.1894665,-7.8005522,654 521 917 / 609 477 570,,,info@bancodetempodeallariz.org,,,,None,,,,,,,,,,,,,2013-06-07 19:47:10
BdT de Almendralejo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Vistahermosa, 1A",,6200,Almendralejo,Badajoz,,38.6823707,-6.4014208,924 670 532 (ext. 232),,,bancodeltiempoalmendralejo@hispavista.com,,,,None,,,,,,,,,,,,,2013-06-07 19:47:15
BdT de Almería,,Grupo/colectivo,Banco de tiempo - Municipal,"Calle Alcalde Muñoz,12","Calle Antonio Muñoz Zamora, S/N",04007,Almeria,Almería,,36.8420358,-2.461659,950210073,,,bdtalmeria@gmail.com,,http://www.mujeralmeria.es/,,2012,,"Banco del tiempo gestionado por el area de políticas de Igualdad del Ayto. de Almería. 
www.mujeralmeria.es",,,,,,,,,,,2013-06-17 09:26:59
BdT de Alora,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de la Fuente Arriba, s/n",,29500,Alora,Málaga,,36.8229926,-4.7066498,951 0662 138,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:47:26
BdT de Añover de Tajo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Coronel Monasterio, 1 - Centro Social Polivalente",,45250,Añover De Tajo,Toledo,,39.9894861,-3.7663657,925 555 288,,,pilar.apinaniz@anoverdetajo.es,,,,None,,,,,,,,,,,,,2013-06-07 19:47:46
BdT de Argamasilla de Alba,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ del Alcázar, 67",,13710,Argamasilla De Alba,Ciudad Real,,39.1329574,-3.0929671,693 416 299,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:49:05
BdT de Armilla,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Fernando Martín, s/n",,18100,Armilla,Granada,,37.1439159,-3.6254529,958 578 905-08,,,bancodeltiempo@ayuntamientodearmilla.com,,,,None,,,,,,,,,,,,,2013-06-07 19:49:12
BdT de Arriate,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de los cordones, 4",,29350,Arriate,Málaga,,36.798816,-5.1420484,952 165 100 / 670 358 402,,,truekate@arriate.es,,,,None,,,,,,,,,,,,,2013-06-07 19:49:15
BdT de Arucas,,Grupo/colectivo,Banco de tiempo - Municipal,,,35004,Las Palmas De Gran Canaria,Las Palmas de Gran Canaria,,28.1157451,-15.4229159,601 948 / 928 622 448,,,mujer@arucas.org,,,,None,,,,,,,,,,,,,2013-06-07 19:49:19
BdT de Arzua,,Grupo/colectivo,Banco de tiempo - Municipal,,,15810,Arzua,A Coruña,,42.9296884,-8.1607836,981 500 000,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:49:23
BdT de Ávila,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Cardenal Pla  Deniel, 6",,5001,Ávila,Ávila,,40.6547782,-4.6995589, 920 354 000 ext.870,,,bancotiempoavila@gmail.com,,,http://avilajoven.blogspot.com.es/,None,,,,,,,,,,,,,2014-04-30 08:06:10
BdT de Avilés,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sabino Álvarez Gendín, 26 bjo.",,33402,Avilés,Asturias,,43.5484209,-5.9280628,985 129 098,,,bancodeltiempo@ayto-aviles.es,,,,None,,,,,,,,,,,,,2013-06-07 19:49:30
BdT de Badía del Vallés,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Burgos, 18",,8214,Badía Del Vallés,Barcelona,,41.5082576,2.1162632,,,,bancotiempobadia@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:49:33
BdT de Bailén Miraflores,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sevilla, 8",,29012,Málaga,Málaga,,36.7240955,-4.429548,952 300 500,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:49:37
BdT de Balmaseda,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Balmaseda,Vizcaya,,43.19329,-3.195521,946 800 000,,,leticia@balmaseda.net,,,,None,,,,,,,,,,,,,2013-06-07 19:49:40
BdT de Benalmádena,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Amapola,Espacio Joven ,,Benalmádena,Málaga,,36.5955521,-4.5740003,,,,,,,,None,,,,,,,,,,,,,2013-06-09 23:47:08
BdT de Bilbao - Barrios Altos,,Grupo/colectivo,Banco de tiempo - Municipal,"Plaza del Corazón de María, 5",,48003,Bilbao,Vizcaya,,43.2564038,-2.9274615,944 168 571,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:50:46
Bdt de Bolullos del Condado,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Sagrado Corazón de Jesús, 1",,21710,Bolullos Par Del Condado,Huelva,,37.3359073,-6.5353342,959 412 094,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:50:56
Bdt de Bon Pastor,,Grupo/colectivo,Banco de tiempo - Municipal,"Plça. Robert Gerhard, 3 - Centre Cívic del Bon Pastor",,8030,Barcelona,Barcelona,,41.4347168,2.2050022,933 147 947,,,bancdeltempsbonpastor@yahoo.es,,,,None,,,,,,,,,,,,,2013-06-07 19:50:59
BdT de Borriana -  Les Alqueries,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Burriana,Castellón de la Plana,,39.8895586,-0.0842113,35 324 110,,,bdt.burriana.alquerias@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:51:07
BdT de Burgos,,Grupo/colectivo,Banco de tiempo - Municipal,,,,,Burgos,,42.3439925,-3.696906,646 211 010,,,mariapilar21@hotmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:51:21
BdT de Cáceres,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Mayor, 30, 31 dcha.",,10003,Cáceres,Cáceres,,39.471329,-6.370961,927 245 772 / 608 445 910,,,bancodeltiempo@fic07.eu,,,,None,,,,,,,,,,,,,2013-06-07 19:51:33
BdT de Cádiz,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Cádiz,Cádiz,,36.5270612,-6.2885962,636 235 885,,,vendanki@hotmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:51:38
BdT de Calahorra,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Miguel de Cervantes, 1",,26500,Calahorra,La Rioja,,42.3021975,-1.9645412,941 147 746 / 667 463 791,,,bancodeltiempo@consejojuventudcalahorra.com,,,,None,,,,,,,,,,,,,2013-06-07 19:52:21
BdT de Cambrils,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sant Pere, 33",,43850,Cambrils,Tarragona,,41.0684259,1.0616035,977 368 217,,,bancdeltemps@cambrilsciutat.org,,,,None,,,,,,,,,,,,,2013-06-07 19:52:34
BdT de Can Baró,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Josep Serrano, 59-71",Casal Pirineu,08024,Barcelona,Barcelona,,41.4171137,2.1620688,932 199 224,,,,,,,None,,,,,,,,,,,,,2013-06-09 23:10:09
BdT de Carabanchel,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Madrid,Madrid,,40.4167754,-3.7037902,,,,bancotiempocarabanchel@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:52:47
BdT de Carabanchel y Usera - CAF3,,Grupo/colectivo,Banco de tiempo - Municipal,"Avenida Rafaela Ybarra, 41",Junta Municipal Distrito Usera,28026,Madrid,Madrid,,40.3824183,-3.7107441,914 632 342,,914 638 644,caf-3@madrid.es,,,,None,,,,,,,,,,,,,2015-06-16 11:31:02
"BdT de Centro, Arganzuela, Chamberí y Moncloa-Aravaca - CAF1",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Rafael Calvo, 8",,28010,Madrid,Madrid,,40.4336025,-3.6966301,915 061 860,914 675 873,,caf-1@madrid.es,,,,None,,,,,,,,,,,,,2014-03-31 09:27:41
BdT de Cerdanyola del Vallés,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Indústria, s/n",L'Ateneu ,8290,Cerdanyola Del Valles,Barcelona,,41.487779,2.1374819,935 914 133,,,bancdeltemps@cerdanyola.cat,,,,None,,,,,,,,,,,,,2013-06-09 23:11:48
"BdT de Ciudad Lineal, Hortaleza, San Blas y Barajas - CAF2",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Francisco Morejón, 4",,28043,Madrid,Madrid,,40.4593173,-3.6233705,913 677 655,,,caf-2@madrid.es,,,,None,,,,,,,,,,,,,2014-02-01 09:32:12
BdT de Coin,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Urbano Pineda - Area Serv. Sociales,,29100,Coin,Málaga,,36.659484,-4.753782,952 455 908,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:53:51
BdT de Collado Villalba,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Príncipe de España, s/n","Aula 4, Centro Polifuncional",28400,Collado Villalba,Madrid,Estación,40.6286627,-4.0087395,689321415,918514303,,bdt.villalba@gmail.com,,http://bdtvillalba.wix.com/bdtcolladovillalba,http://bancodeltiempovillalba.blogspot.com.es/,2011,,"EL BANCO DEL TIEMPO DE COLLADO VILLALBA FUE CREADO EN ABRIL DEL 2011 POR INCIATIVA DEL AYUNTAMIENTO DE COLLADO VILLALBA Y LA UNIVERSIDAD AUTONOMA DE MADRID. A PARTIR DE JUNIO DE 2012 LO GESTIONA LA ASOCIACION COMPARTIEMPO INDEPENDIENTE Y FORMADA POR USUARI@S DE ESTE BANCO DEL TIEMPO.

EL HORARIO DE ATENCIÓN A LAS PERSONAS INTERESADAS ES LOS VIERNES DE 18:00 A 19:50.",,,,,,,,,,,2014-03-05 10:52:14
BdT de Corcubión,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Corcubión,A Coruña,,42.9425685,-9.1922555,981 745 400,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:54:04
BdT de Córdoba,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Del Gran Capitán, 28",,14001,Córdoba,Córdoba,,37.8885024,-4.7824754,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:54:07
BdT de Cruz Roja,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Pozas, 14",,28004,Madrid,Madrid,,40.4252051,-3.7065765,915 325 555,,,pbtiempo@cruzroja.es,,,,None,,,,,,,,,,,,,2013-06-07 19:54:14
BdT de Cruz Roja - Móstoles,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Carlos V, 5",,20936,Móstoles,Madrid,,40.3222669,-3.8497927,913 308 835 (ext. 6),,,bancodeltiempo.mos@cruzroja.es,,,,None,,,,,,,,,,,,,2013-06-07 19:54:17
BdT de Donostia,,Grupo/colectivo,Banco de tiempo - Municipal,"Edif. antiguas caballerizas, 1er piso Sala Sua",,20009,San Sebastián,Guipúzcoa,,43.2953855,-1.985706,609 466 948,,,bancodetiempodonostia@hotmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:54:27
BdT de El Escorial,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sagrado Corazón, 5",,28280,El Escorial,Madrid,,40.38,-3.86,918 901 445,,,mujer@aytoescorial.org,,,,None,,,,,,,,,,,,,2013-06-07 19:55:00
BdT de El Molar,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Remolino, 4",,28710,El Molar,Madrid,,40.7325378,-3.5818426,,,,bdtelmolar@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:55:06
BdT de Elche,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Arturo Salvetti Pardo, 9",,3206,Elche,Alicante,,38.2745861,-0.7061606,966 243 128 / 129,,,rincondelasculturas@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:55:09
BdT de Estella-Lizarra,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Navarrería, 62, 1º, desp. 2 sala reuniones",,31200,Estella,Navarra,,42.6720856,-2.0324524,948 556 329 / 948 556 331,,,bdtestella.lizarra@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:55:13
BdT de Ferrol,,Grupo/colectivo,Banco de tiempo - Municipal,"Rúa Sánchez Barcáiztegui, 35-47",,,El Ferrol,A Coruña,,43.4825392,-8.2360185,981 944 230,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:55:17
BdT de Galapagar,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Constitución, 3",,28260,Galapagar,Madrid,,40.5773142,-4.0039748,918 587 825,,,coordinadora.sociales@ayuntamientodegalapagar.com,,,,None,,,,,,,,,,,,,2013-06-07 19:55:25
BdT de Gandia,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Benipa, 35",,46701,Gandia,Valencia,,38.9699346,-0.1868881,962 965 672 / 647 310 082,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:55:28
BdT de Gualchos,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Gualchos,Granada,,36.7446261,-3.3892894,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:55:35
BdT de Guitiriz,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Guitiriz,Lugo,,43.1816306,-7.8922143,982 370 109,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:55:39
BdT de Herencia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Lope de Vega, 31 - Casa de Herencia Herencia",,13640,Ciudad Real,Ciudad Real,,38.9848295,-3.9273778,926 570 024 / 926 571 700,,,bancodeltiempo@herencia.es,,,,None,,,,,,,,,,,,,2013-06-07 19:55:56
BdT de Hondarribia - Trukean,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Nagusia Kalea, 7",,20280,Hondarribia,Guipúzcoa,,43.3626075,-1.7912882,943 114 000,,,trukean@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:56:00
BdT de Huelva - As. Vecinos Hispanidad,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Gabriela Mistral, s/n",,21005,Huelva,Huelva,,37.2696681,-6.9385154,959 153 601,,,hispanidad@bancodeltiempohuelva.org,,,,None,,,,,,,,,,,,,2013-06-07 19:56:05
BdT de Huelva - As. Vecinos Pol. S. Sebastián,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Carcelera s/n,,21006,Huelva,Huelva,,37.2611653,-6.935674,669 631 382,,,psansebastian@bancodeltiempohuelv.org,,,,None,,,,,,,,,,,,,2013-06-07 19:56:08
BdT de Huesca,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. De Martínez de Velasco, 6 - Centro Cultural",,22005,Huesca,Huesca,,42.1294151,-0.3960275,,,,bancodetiempohuesca@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:57:16
BdT de Ibiza,,Grupo/colectivo,Banco de tiempo - Municipal,"Fra Vicent Nicolau, 9 bjos.",,07800,Ibiza,Ibiza,,38.9113446,1.4288257,971 318 821,,,casal.dones@eivissa.es,,,,None,,,,,,,,,,,,,2013-06-10 00:10:16
BdT de Ida y Vuelta,,Grupo/colectivo,Banco de tiempo - Municipal,(para todo Madrid),,,Madrid,Madrid,,40.4289001,-3.6919126,619 381 707 / 634 535 555,,,info@musicadeidayvuelta.org,,,,None,,,,,,,,,,,,,2013-06-07 19:57:23
BdT de Ingenio,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Ingenio,Las Palmas de Gran Canaria,,27.9182821,-15.4331746,,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:57:28
BdT de Jun,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Coro San Piu, s/n - Centro Guadalinfo",,18213,0/0/2013,Granada,,37.1773363,-3.5985571,645 011  319,,,bancodeltiempo@jun.es,,,,None,,,,,,,,,,,,,2013-06-07 19:57:34
BdT de Karrantza,,Grupo/colectivo,Banco de tiempo - Municipal,,,48891,Karrantza,Vizcaya,,43.2223226,-3.3590446,946466943,661937991,,bdtkarrantza@hotmail.com,kulturetxea@karrantza.org,https://www.facebook.com/bancodeltiempo.karrantza,http://bdtkarrantza.blogspot.com.es/2012/02/banco-del-tiempo-karrantza.html,2011,,"No tenemos ninguna oficina, pero si nos ayudan en la casa de cultura y podríamos recibir correo allí: Karrantzako kulturetxea, Bº Concha nº 46, 48891 Karrantza.
",,,,,,,,,,,2013-06-17 09:32:21
BdT de la Asociación Círculo de Agua de Barbastro,,Asociación,Banco de tiempo - Comunitario,C/ Teruel 14,Bajos ,22300,Barbastro,Huesca,Barrio de San Fermín,42.0360435,0.1284404,635986834,,,circulodeagua@gmail.com,,http://www.bancodetiempocirculodeagua.es/,,2010,,,,,,,,,,,,,2013-06-12 22:01:26
BdT de La Dreta de l'Eixample + Fort Pienc,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Ali Bei, 94-96",Espai d'Entitats del barri de Fort Pienc ,08013,Barcelona,Barcelona,,41.3956919,2.1838731,932 311 146,,,bdtdretafortpienc@gmail.com,,,,None,,,,,,,,,,,,,2013-06-09 23:14:47
BdT de La Garriga,,Grupo/colectivo,Banco de tiempo - Municipal,,,,,Barcelona,,41.6933493,2.2778128,,,,,,,,None,,,,,,,,,,,,,2013-06-09 23:15:18
BdT de La Losa,,Grupo/colectivo,Banco de tiempo - Municipal,,,,Segovia,Segovia,,40.9435626,-4.1130022,921 480 101-291/678 089 950,,,,,,,None,,,,,,,,,,,,,2013-06-07 19:58:00
BdT de la Soledad y el Polígono,,Grupo/colectivo,Banco de tiempo - Municipal,,,07006,Palma De Mallorca,Palma de Mallorca,,39.5617364,2.6760251,971 466 201 / 971 463 558,,,f.patronat@telefonica.net,,,,None,,,,,,,,,,,,,2013-06-10 00:05:46
BdT de La Verneda,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Santander, 6",Centre del Barri de la Verneda ,8020,Barcelona,Barcelona,,41.4227632,2.1967514,933 057 384,,,cbverneda@gmail.com,,,,None,,,,,,,,,,,,,2013-06-09 23:15:43
BdT de Latina - CAF7,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Fuerte de Navidad, 15 ",,28044,Madrid,Madrid,,40.4019359,-3.7550546,914 644 376,,914 799 630,caf-7@madrid.es,,,,None,,,,,,,,,,,,,2014-03-19 08:59:58
BdT de Lekeitio,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Gamarra, 1",,48280,Lekeitio,Vizcaya,,43.3635582,-2.5038233,946 034 100,,,udala@lekeitio.com,,,,None,,,,,,,,,,,,,2013-06-07 19:58:51
BdT de León,,Grupo/colectivo,Banco de tiempo - Municipal,,,,León,León,,40.38,-3.86,,,,asolache@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:58:56
BdT de Logroño,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Marqués de San Nicolás, 46",,26001,Logroño,Logroño,,42.46772,-2.4451781,941 299 090,,,info@bdtlogrono.org,,,,None,,,,,,,,,,,,,2013-06-07 19:58:59
BdT de Los Barrios,,Grupo/colectivo,Banco de tiempo - Municipal,"Pº de la Constitución, 19",,11370,Los Barrios,Cádiz,,36.1832996,-5.4926638,956 622 069,,,bancodeltiempo@ayto-losbarrios.es,,,,None,,,,,,,,,,,,,2013-06-07 19:59:03
BdT de Lugo,,Grupo/colectivo,Banco de tiempo - Municipal,"Aux. Avda. Infanta Elena, 11 Casa Clara Camp. Local 4",,27003,Lugo,Lugo,,43.0118501,-7.6385368,982 202 307,,,info@bdtlugo.net,,,,None,,,,,,,,,,,,,2013-06-07 19:59:07
BdT de Macarena,,Asociación,Banco de tiempo - Comunitario,"C/ de la Alcazaba, 1, 2º D",,18200,Maracena,Granada,,37.2064517,-3.6292373,658031918,,,bdtmaracena@gmail.com,,http://www.bdtmaracena.blogspot.com.es/,,None,,,,,,,,,,,,,2014-07-22 21:02:42
