Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banco de Tiempo de Churriana (Asociacion de vecinos ARCUSVES),,Asociación,Banco de tiempo - Municipal,Gonzalo de Berceo s/n,,Gonzalo de Berceo s/n ,29140,Gonzalo de Berceo s/n 29140,Málaga,Málaga,Churriana Distrito,Andalucía,,Churriana,,Distrito,36.6689104,-4.5031482,692315846,952435951,,bdtchurriana@gmail.com,arcusves@gmail.com,https://es-es.facebook.com/.../BANCO-del-TIEMPO-CHURRIANA/,http://arcusves.blogspot.com/,2011,,"Banco de Tiempo , gestionadado por la Asociación de Vecinos ARCUSVES , en la linea de Banco de Tiempo: Es el primer banco que funciona sin dinero, únicamente se puede depositar tiempo y su moneda es la hora. En el banco del tiempo se intercambian servicios entre personas y para ello se usa la moneda-tiempo. y una apuesta por el Trueque , que realizamos los 1º viernes de més .",,,,,,,,,,,2015-06-16 11:34:31
"Banco de Tiempo de Ciudad Lineal, Hortaleza, San Blas y Barajas - CAF2",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Francisco Morejón, 4",,"C/ Francisco Morejón, 4 ",28043,"C/ Francisco Morejón, 4 28043",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4593173,-3.6233705,913 677 655,,,caf-2@madrid.es,,,,,,,,,,,,,,,,,2014-02-01 09:32:12
Banco de Tiempo de Coin,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Urbano Pineda - Area Serv. Sociales,,C/ Urbano Pineda - Area Serv. Sociales ,29100,C/ Urbano Pineda - Area Serv. Sociales 29100,Coin,Málaga,,Andalucía,,,,,36.659484,-4.753782,952 455 908,,,,,,,,,,,,,,,,,,,,2013-06-07 19:53:51
Banco de Tiempo de Collado Villalba,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Príncipe de España, s/n","Aula 4, Centro Polifuncional","Aula 4, Centro Polifuncional - Pl. Príncipe de España, s/n",28400,"Aula 4, Centro Polifuncional - Pl. Príncipe de España, s/n 28400",Collado Villalba,Madrid,Estación,Comunidad de Madrid,,,,,40.6286627,-4.0087395,689321415,918514303,,bdt.villalba@gmail.com,,http://bdtvillalba.wix.com/bdtcolladovillalba,http://bancodeltiempovillalba.blogspot.com.es/,2011,,"EL BANCO DEL TIEMPO DE COLLADO VILLALBA FUE CREADO EN ABRIL DEL 2011 POR INCIATIVA DEL AYUNTAMIENTO DE COLLADO VILLALBA Y LA UNIVERSIDAD AUTONOMA DE MADRID. A PARTIR DE JUNIO DE 2012 LO GESTIONA LA ASOCIACION COMPARTIEMPO INDEPENDIENTE Y FORMADA POR USUARI@S DE ESTE BANCO DEL TIEMPO.

EL HORARIO DE ATENCIÓN A LAS PERSONAS INTERESADAS ES LOS VIERNES DE 18:00 A 19:50.",,,,,,,,,,,2014-03-05 10:52:14
Banco de Tiempo de Corcubión,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Corcubión,A Coruña,,Galicia,,,,,42.9425685,-9.1922555,981 745 400,,,,,,,,,,,,,,,,,,,,2013-06-07 19:54:04
Banco de Tiempo de Córdoba,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Del Gran Capitán, 28",,"Av. Del Gran Capitán, 28 ",14001,"Av. Del Gran Capitán, 28 14001",Córdoba,Córdoba,,Andalucía,,,,,37.8885024,-4.7824754,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:54:07
Banco de Tiempo de Cornellà,,Grupo/colectivo,Banco de tiempo - Comunitario,,, ,, ,,Barcelona,,Cataluña,,,,,41.3573827,2.0707159,,,,btcornella@gmail.com,,,,,,,,,,,,,,,,,2014-05-20 21:44:32
Banco de Tiempo de Cruz Roja,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Pozas, 14",,"C/ Pozas, 14 ",28004,"C/ Pozas, 14 28004",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4252051,-3.7065765,915 325 555,,,pbtiempo@cruzroja.es,,,,,,,,,,,,,,,,,2013-06-07 19:54:14
Banco de Tiempo de Cruz Roja - Móstoles,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Carlos V, 5",,"Av. Carlos V, 5 ",20936,"Av. Carlos V, 5 20936",Móstoles,Madrid,,Comunidad de Madrid,,,,,40.3222669,-3.8497927,913 308 835 (ext. 6),,,bancodeltiempo.mos@cruzroja.es,,,,,,,,,,,,,,,,,2013-06-07 19:54:17
Banco de Tiempo de Donostia,,Grupo/colectivo,Banco de tiempo - Municipal,"Edif. antiguas caballerizas, 1er piso Sala Sua",,"Edif. antiguas caballerizas, 1er piso Sala Sua ",20009,"Edif. antiguas caballerizas, 1er piso Sala Sua 20009",San Sebastián,Gipuzkoa,,País Vasco,,,,,43.2953855,-1.985706,609 466 948,,,bancodetiempodonostia@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:54:27
Banco de Tiempo de El Escorial,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sagrado Corazón, 5",,"C/ Sagrado Corazón, 5 ",28280,"C/ Sagrado Corazón, 5 28280",El Escorial,Madrid,,Comunidad de Madrid,,,,,40.38,-3.86,918 901 445,,,mujer@aytoescorial.org,,,,,,,,,,,,,,,,,2013-06-07 19:55:00
Banco de Tiempo de El Molar,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Remolino, 4",,"C/ Remolino, 4 ",28710,"C/ Remolino, 4 28710",El Molar,Madrid,,Comunidad de Madrid,,,,,40.7325378,-3.5818426,,,,bdtelmolar@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:55:06
Banco de Tiempo de Elche,,Grupo/colectivo,Banco de tiempo - Municipal,C/Animes nº1,,C/Animes nº1 ,03202,C/Animes nº1 03202,Elche,Alicante,Ciudad,Comunidad Valenciana,,,,Municipio,38.26629,-0.6985787,966 65 92 21,,,bdtelche@ayto-elche.es,bdtelche@ayto-elche.es,http://www.elche.es/micrositios/accion-social-/info/1990/banco-del-tiempo/,,2013,,"El Servicio BANCO DEL TIEMPO (BdT) es un servicio gratuito que gestiona el Ayuntamiento de Elche y que promueve, dentro del municipio, el intercambio de tiempo de servicios y/o actividades entre ciudadanos, tanto a nivel individual como grupal, que se hayan inscrito como socios.",,,,,,,,,,,2014-11-12 21:14:49
Banco de Tiempo de Elche,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Arturo Salvetti Pardo, 9",,"C/ de Arturo Salvetti Pardo, 9 ",03206,"C/ de Arturo Salvetti Pardo, 9 03206",Elche,Alicante,,Comunidad Valenciana,,,,,38.2745861,-0.7061606,966 243 128 / 129,,,rincondelasculturas@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:55:09
Banco de Tiempo de Estella-Lizarra,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Navarrería, 62, 1º, desp. 2 sala reuniones",,"C/ de la Navarrería, 62, 1º, desp. 2 sala reuniones ",31200,"C/ de la Navarrería, 62, 1º, desp. 2 sala reuniones 31200",Estella,Navarra,,Comunidad Foral de Navarra,,,,,42.6720856,-2.0324524,948 556 329 / 948 556 331,,,bdtestella.lizarra@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:55:13
Banco de Tiempo de Ferrol,,Grupo/colectivo,Banco de tiempo - Municipal,"Rúa Sánchez Barcáiztegui, 35-47",,"Rúa Sánchez Barcáiztegui, 35-47 ",,"Rúa Sánchez Barcáiztegui, 35-47 ",El Ferrol,A Coruña,,Galicia,,,,,43.4825392,-8.2360185,981 944 230,,,,,,,,,,,,,,,,,,,,2013-06-07 19:55:17
Banco de Tiempo de Ferrolterra,,Grupo/colectivo,Banco de tiempo - Comunitario,Avda. Castelao S/N,Traseira do Mercado de Caranza,Traseira do Mercado de Caranza - Avda. Castelao S/N,15406,Traseira do Mercado de Caranza - Avda. Castelao S/N 15406,Ferrol ,A Coruña,Galicia,Galicia,,,,,43.4829432,-8.2045467,659308775,,,bdt@deferrolterra.com,bancodetempo@deferrolterra.com,http://bdt.deferrolterra.com/,http://bancodetempo.deferrolterra.com/,2012,,"El banco de tiempo de Ferrolterra es una iniciativa para recuperar el BdT municipal que fué abandonado por el ayuntamiento de Ferrol. Pretendía ser un ente de gestión descentraliza, con la cooperación de todo el tejido asociativo, pero de momento, es solo un recurso diferente que mantenemos vivo 40 socios y socias con unas 70 ofertas. Eso si, esta ahí y !funciona!",,,,,,,,,,,2013-11-12 12:00:30
Banco de Tiempo de Fuente el Fresno,,Centro social,Banco de tiempo - Municipal,"Real, 57",,"Real, 57 ",13680,"Real, 57 13680",Fuente el Fresno,Ciudad Real,Ciudad Real,Castilla-La Mancha,,,,,39.2283154,-3.7767369,926804559,666080805,,bancodeltiempoffresno@gmail.com,,https://www.facebook.com/bancodeltiempo.defuenteelfresno?fref=ts,,2013,,"CENTRO SOCIAL DE FUENTE EL FRESNO: todos los días de 11:00 a 13:00 donde organizaremos y coordinaremos vuestras ofertas y demandas.
¡Ven a por tus créditos de tiempo!
Cuanto mayor crédito de tiempo circule y cuanta más gente comparta su tiempo y sus talentos entre ellos más rica se convertirá la comunidad.",,,,,,,,,,,2014-03-05 10:50:42
Banco de Tiempo de Galapagar,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Constitución, 3",,"Pl. Constitución, 3 ",28260,"Pl. Constitución, 3 28260",Galapagar,Madrid,,Comunidad de Madrid,,,,,40.5773142,-4.0039748,918 587 825,,,coordinadora.sociales@ayuntamientodegalapagar.com,,,,,,,,,,,,,,,,,2013-06-07 19:55:25
Banco de Tiempo de Gandia,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Benipa, 35",,"Av. Benipa, 35 ",46701,"Av. Benipa, 35 46701",Gandia,Valencia,,Comunidad Valenciana,,,,,38.9699346,-0.1868881,962 965 672 / 647 310 082,,,,,,,,,,,,,,,,,,,,2013-06-07 19:55:28
Banco de Tiempo de Gualchos,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Gualchos,Granada,,Andalucía,,,,,36.7446261,-3.3892894,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:55:35
Banco de Tiempo de Guitiriz,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Guitiriz,Lugo,,Galicia,,,,,43.1816306,-7.8922143,982 370 109,,,,,,,,,,,,,,,,,,,,2013-06-07 19:55:39
Banco de Tiempo de Herencia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Lope de Vega, 31 - Casa de Herencia Herencia",,"C/ Lope de Vega, 31 - Casa de Herencia Herencia ",13640,"C/ Lope de Vega, 31 - Casa de Herencia Herencia 13640",Ciudad Real,Ciudad Real,,Castilla-La Mancha,,,,,38.9848295,-3.9273778,926 570 024 / 926 571 700,,,bancodeltiempo@herencia.es,,,,,,,,,,,,,,,,,2013-06-07 19:55:56
Banco de Tiempo de Hondarribia - Trukean,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Nagusia Kalea, 7",,"C/ Nagusia Kalea, 7",20280,"C/ Nagusia Kalea, 7 20280",Hondarribia,Gipuzkoa,,País Vasco,,,,,43.3626075,-1.7912882,943 114 000,,,trukean@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:56:00
Banco de Tiempo de Huelva - As. Vecinos Hispanidad,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Gabriela Mistral, s/n",,"C/ Gabriela Mistral, s/n ",21005,"C/ Gabriela Mistral, s/n 21005",Huelva,Huelva,,Andalucía,,,,,37.2696681,-6.9385154,959 153 601,,,hispanidad@bancodeltiempohuelva.org,,,,,,,,,,,,,,,,,2013-06-07 19:56:05
Banco de Tiempo de Huelva - As. Vecinos Pol. S. Sebastián,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Carcelera s/n,,C/ Carcelera s/n ,21006,C/ Carcelera s/n 21006,Huelva,Huelva,,Andalucía,,,,,37.2611653,-6.935674,669 631 382,,,psansebastian@bancodeltiempohuelv.org,,,,,,,,,,,,,,,,,2013-06-07 19:56:08
Banco de Tiempo de Huelva Capital,,Asociación,Banco de tiempo - Municipal,"Universidad de Huelva, Plaza Juan Ramón Jiménez, Edif. Humanidades, Despacho 08 (planta baja)",Campus del Carmen,"Universidad de Huelva, Plaza Juan Ramón Jiménez, Edif. Humanidades, Despacho 08 (planta baja) Campus del Carmen",21081,"Universidad de Huelva, Plaza Juan Ramón Jiménez, Edif. Humanidades, Despacho 08 (planta baja) Campus del Carmen 21081",Huelva,Huelva,Distrito Los Rosales. Universidad de Huelva.,Andalucía,,Los Rosales. Universidad de Huelva.,,Distrito,37.261421,-6.9447224,959219187,,,bthuelva@gmail.com,,http://www.bthuelva.es/,,2013,,El primer banco de tiempo en España que ofrece servicios e investigación. ,,,,,,,,,,,2014-10-07 16:57:49
Banco de Tiempo de Huesca,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. De Martínez de Velasco, 6 - Centro Cultural",,"Av. De Martínez de Velasco, 6 - Centro Cultural ",22005,"Av. De Martínez de Velasco, 6 - Centro Cultural 22005",Huesca,Huesca,,Aragón,,,,,42.1294151,-0.3960275,,,,bancodetiempohuesca@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:57:16
Banco de Tiempo de Ibiza,,Grupo/colectivo,Banco de tiempo - Municipal,"Fra Vicent Nicolau, 9 bjos.",,"Fra Vicent Nicolau, 9 bjos. ",07800,"Fra Vicent Nicolau, 9 bjos. 07800",Ibiza,Baleares,,Islas Baleares,,,,,38.9113446,1.4288257,971 318 821,,,casal.dones@eivissa.es,,,,,,,,,,,,,,,,,2013-06-10 00:10:16
Banco de Tiempo de Ida y Vuelta,,Grupo/colectivo,Banco de tiempo - Municipal,(para todo Madrid),,(para todo Madrid) ,,(para todo Madrid) ,Madrid,Madrid,,Comunidad de Madrid,,,,Comunidad autónoma,40.4289001,-3.6919126,619 381 707 / 634 535 555,,,info@musicadeidayvuelta.org,,,,,,,,,,,,,,,,,2013-06-07 19:57:23
Banco de Tiempo de Ingenio,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Ingenio,Las Palmas,,Canarias,,,,,27.9182821,-15.4331746,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:57:28
Banco de Tiempo de Jun,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Coro San Piu, s/n - Centro Guadalinfo",,"Pl. Coro San Piu, s/n - Centro Guadalinfo ",18213,"Pl. Coro San Piu, s/n - Centro Guadalinfo 18213",,Granada,,Andalucía,,,,,37.1773363,-3.5985571,645 011  319,,,bancodeltiempo@jun.es,,,,,,,,,,,,,,,,,2013-06-07 19:57:34
Banco de Tiempo de Karrantza,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,48891, 48891,Karrantza,Vizcaya,,País Vasco,,,,,43.2223226,-3.3590446,946466943,661937991,,bdtkarrantza@hotmail.com,kulturetxea@karrantza.org,https://www.facebook.com/bancodeltiempo.karrantza,http://bdtkarrantza.blogspot.com.es/2012/02/banco-del-tiempo-karrantza.html,2011,,"No tenemos ninguna oficina, pero si nos ayudan en la casa de cultura y podríamos recibir correo allí: Karrantzako kulturetxea, Bº Concha nº 46, 48891 Karrantza.
",,,,,,,,,,,2013-06-17 09:32:21
Banco de Tiempo de La Alhóndiga,Ven a compartir tu tiempo. Otro mundo es posible!,Otros,Banco de tiempo - Comunitario,Calle Hernán Cortés 13,,Calle Hernán Cortés 13 ,28904,Calle Hernán Cortés 13 28904,Getafe,Madrid,,Comunidad de Madrid,,,,,40.3089592,-3.7375294,654822802,606957322,,bancodetiempo.alhondiga@gmail.com,redapoyosolidario.alhondiga@gmail.com,,,2013,,"El Banco de Tiempo de La Alhóndiga, en Getafe, es un espacio de intercambio en el que no existe el dinero y cabe todo lo que se necesite y todo lo que se puede ofrecer. No existe ánimo de lucro ya que la unidad de cambio es el tiempo. 
El objetivo es proporcionar una infraestructura básica para el intercambio de conocimiento y tiempo de actividad entre las y los vecinos.  Se trata de crear una red comunitaria en el barrio que, bajo los principios de la ayuda mutua y solidaridad, resuelva los problemas concretos de la vida cotidiana. Esta iniciativa es parte de la Red de Apoyo Solidario del barrio.",,,,,,,,,,,2013-10-15 17:51:13
Banco de Tiempo de la Asamblea de Retiro (Entrehoras),,Grupo/colectivo,Banco de tiempo - Comunitario,,, ,, ,,Madrid,Retiro,Comunidad de Madrid,,Retiro,,Distrito,40.406373,-3.682017,,,,,,https://www.facebook.com/EntrehorasBancoDeTiempoDeLaAsambleaRetiro,http://entrehoras.dyndns.org/do/member/home?fromMenu=true,2011,,,,,,,,,,,,,2013-07-20 19:20:35
Banco de Tiempo de la Asociación Círculo de Agua de Barbastro,,Asociación,Banco de tiempo - Comunitario,C/ Teruel 14,Bajos ,C/ Teruel 14 Bajos ,22300,C/ Teruel 14 Bajos 22300,Barbastro,Huesca,Barrio de San Fermín,Aragón,San Fermín,,,Barrio,42.0360435,0.1284404,635986834,,,circulodeagua@gmail.com,,http://www.bancodetiempocirculodeagua.es/,,2010,,,,,,,,,,,,,2013-06-12 22:01:26
Banco de Tiempo de La Dreta de l'Eixample + Fort Pienc,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Ali Bei, 94-96",Espai d'Entitats del barri de Fort Pienc ,"Espai d'Entitats del barri de Fort Pienc  - C/ Ali Bei, 94-96",08013,"Espai d'Entitats del barri de Fort Pienc - C/ Ali Bei, 94-96 08013",Barcelona,Barcelona,,Cataluña,,,,,41.3956919,2.1838731,932 311 146,,,bdtdretafortpienc@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:14:47
Banco de Tiempo de La Garriga,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,,Barcelona,,Cataluña,,,,,41.6933493,2.2778128,,,,,,,,,,,,,,,,,,,,,2013-06-09 23:15:18
Banco de Tiempo de La Losa,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Segovia,Segovia,,Castilla y León,,,,,40.9435626,-4.1130022,921 480 101-291/678 089 950,,,,,,,,,,,,,,,,,,,,2013-06-07 19:58:00
Banco de Tiempo de la Soledad y el Polígono,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,07006, 07006,Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.5617364,2.6760251,971 466 201 / 971 463 558,,,f.patronat@telefonica.net,,,,,,,,,,,,,,,,,2013-06-10 00:05:46
Banco de Tiempo de La Verneda,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Santander, 6",Centre del Barri de la Verneda ,"Centre del Barri de la Verneda  - C/ Santander, 6",08020,"Centre del Barri de la Verneda - C/ Santander, 6 08020",Barcelona,Barcelona,,Cataluña,,,,,41.4227632,2.1967514,933 057 384,,,cbverneda@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:15:43
Banco de Tiempo de Lanzarote,Banco de Tiempo Lanzarote - Red de intercambio ,Red,Banco de tiempo - Comunitario,"Calle Figueroa 20, Arrecife de Lanzarote ",,"Calle Figueroa 20, Arrecife de Lanzarote  ",35500,"Calle Figueroa 20, Arrecife de Lanzarote 35500",Arrecife,Las Palmas,Canarias,Canarias,,,,,28.9601802,-13.5512413,609 237 836,,,bancodetiempolanzarote@gmail.com,,http://www.bancodetiempolanzarote.org/,,2013,,,,,,,,,,,,,2013-11-12 12:08:41
Banco de Tiempo de Las Rozas,,Otros,Banco de tiempo - Municipal,"C/ Comunidad de la Rioja, 2",Centro Municipal El Abajón,"Centro Municipal El Abajón - C/ Comunidad de la Rioja, 2",28230,"Centro Municipal El Abajón - C/ Comunidad de la Rioja, 2 28230",Las Rozas de Madrid,Madrid,Madrid Noroeste,Comunidad de Madrid,,,Madrid Noroeste,Comarca,40.4912137,-3.8815673,,,,bancodeltiempo@lasrozas.es,,,,2012,,,,,,,,,,,,,2014-02-01 09:38:29
Banco de Tiempo de Latina - CAF7,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Fuerte de Navidad, 15 ",,"C/ Fuerte de Navidad, 15  ",28044,"C/ Fuerte de Navidad, 15 28044",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4019359,-3.7550546,914 644 376,,914 799 630,caf-7@madrid.es,,,,,,,,,,,,,,,,,2014-03-19 08:59:58
Banco de Tiempo de Lekeitio,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Gamarra, 1",,"C/ Gamarra, 1 ",48280,"C/ Gamarra, 1 48280",Lekeitio,Vizcaya,,País Vasco,,,,,43.3635582,-2.5038233,946 034 100,,,udala@lekeitio.com,,,,,,,,,,,,,,,,,2013-06-07 19:58:51
Banco de Tiempo de León,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,León,León,,Castilla y León,,,,,40.38,-3.86,,,,asolache@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:58:56
Banco de Tiempo de Llanes,,Grupo/colectivo,Banco de tiempo - Comunitario,"Casa Rectoral - Centro Juvenil ""El Patiu""",,"Casa Rectoral - Centro Juvenil ""El Patiu"" ",33594,"Casa Rectoral - Centro Juvenil ""El Patiu"" 33594",Posada de Llanes (Llanes),Asturias,,Principado de Asturias,,,,,43.4230708,-4.8638653,985407038,675833315,,bancodetiempollanes@gmail.com,carruhe@hotmail.com,http://bancodetiempodellanes.blogspot.com.es/,https://www.facebook.com/bancodetiempodellanes,2013,,,,,,,,,,,,,2013-12-04 09:21:12
Banco de Tiempo de Logroño,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Marqués de San Nicolás, 46",,"C/ Marqués de San Nicolás, 46 ",26001,"C/ Marqués de San Nicolás, 46 26001",Logroño,La Rioja,,La Rioja,,,,,42.46772,-2.4451781,941 299 090,,,info@bdtlogrono.org,,,,,,,,,,,,,,,,,2013-06-07 19:58:59
Banco de Tiempo de Los Barrios,,Grupo/colectivo,Banco de tiempo - Municipal,"Pº de la Constitución, 19",,"Pº de la Constitución, 19 ",11370,"Pº de la Constitución, 19 11370",Los Barrios,Cádiz,,Andalucía,,,,,36.1832996,-5.4926638,956 622 069,,,bancodeltiempo@ayto-losbarrios.es,,,,,,,,,,,,,,,,,2013-06-07 19:59:03
Banco de Tiempo de Lugo,,Grupo/colectivo,Banco de tiempo - Municipal,"Aux. Avda. Infanta Elena, 11 Casa Clara Camp. Local 4",,"Aux. Avda. Infanta Elena, 11 Casa Clara Camp. Local 4 ",27003,"Aux. Avda. Infanta Elena, 11 Casa Clara Camp. Local 4 27003",Lugo,Lugo,,Galicia,,,,,43.0118501,-7.6385368,982 202 307,,,info@bdtlugo.net,,,,,,,,,,,,,,,,,2013-06-07 19:59:07
Banco de Tiempo de Macarena,,Asociación,Banco de tiempo - Comunitario,"C/ de la Alcazaba, 1, 2º D",,"C/ de la Alcazaba, 1, 2º D ",18200,"C/ de la Alcazaba, 1, 2º D 18200",Maracena,Granada,,Andalucía,,,,,37.2064517,-3.6292373,658031918,,,bdtmaracena@gmail.com,,http://www.bdtmaracena.blogspot.com.es/,,,,,,,,,,,,,,,2014-07-22 21:02:42
Banco de Tiempo de Majadahonda,"Asociación que promueve el intercambio de servicios y habilidades entre vecinos de Majadahonda, siendo su moneda el Tiempo en horas.",Grupo/colectivo,Banco de tiempo - Comunitario,,, ,28220, 28220,Majadahonda,Madrid,Madrid Noroeste,Comunidad de Madrid,,,Madrid Noroeste,Comarca,40.4731888,-3.8808034,,,,bdt.majadahonda@gmail.com,,https://www.facebook.com/bancotiempomajadahonda,http://bancodetiempomajadahonda.blogspot.com.es/,2013,,"El Banco de tiempo de Majadahonda proporciona a sus socios un medio para ofrecer y demandar todo tipo de servicios y habilidades sin ánimo de lucro y de carácter no profesional entre vecinos de la localidad. 

Estas actividades se miden en tiempo (horas) , y la organización mantiene registro en forma de saldo de las horas recibidas y realizadas, para mantener el principio de equidad y reciprocidad necesario. 

Cada socio recibe un capital inicial de tiempo que le permite demandar servicios desde el primer momento y a su vez ofrece lo que cree posible y oportuno. Para ayudar en la definición de esta oferta existe un formulario con un gran abanico de opciones, y pueden conocerse las habilidades y servicios ofertados por los demás socios para sugerir ideas a cada uno de qué ofrecer y demandar. 

El Banco de Tiempo guarda registro de las ofertas y recibe las demandas de servicios . Éstas son comunicadas a los socios cuyo perfil les permitiría atenderlas , y éstos, sin compromiso alguno , pueden ofrecerse a cumplimentar las peticiones que consideren. El Banco, entonces, pone en contacto a los socios en cuestión, que acuerdan los detalles y comunican al Banco las horas ofrecidas/consumidas para ajustar los saldos de tiempo de los socios.

El Banco de Tiempo promueve el contacto real entre los socios como herramienta fundamental para establecer la confianza necesaria entre personas, y a ese fin, organiza actividades y reuniones de socios y simpatizantes.

Tanto el ingreso como la permanencia y la baja como socio son gratuitos y absolutamente discrecionales y voluntarios. 

Toda la actividad del Banco de Tiempo tiene por principio la buena fe y la transparencia. Cualquier socio puede colaborar o formar parte de la organización del Banco si lo desea y conocer los detalles de la gestión que estime oportuno.

El soporte técnico de toda esta gestión está en permanente revisión y los medios de comunicación básicos son el correo electrónico y aplicaciones en Internet. Para socios sin fácil acceso a medios informáticos, el teléfono es una alternativa posible, aun sin la flexibilidad y facilidad de éstos.",,,,,,,,,,,2015-06-01 20:38:28
Banco de Tiempo de Málaga,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Victoria, 11 ofic. Nº 5 (IMFE)",,"C/ Victoria, 11 ofic. Nº 5 (IMFE) ",29012,"C/ Victoria, 11 ofic. Nº 5 (IMFE) 29012",Málaga,Málaga,,Andalucía,,,,,36.7279999,-4.4124219,952 061 941,,,,,,,,,,,,,,,,,,,,2013-06-07 19:59:14
Banco de Tiempo de Málaga (Distrito Ctra. de Cádiz),,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Federico García Lorca, 10",,"C/ Federico García Lorca, 10 ",29012,"C/ Federico García Lorca, 10 29012",Málaga,Málaga,,Andalucía,,,,,36.7017354,-4.4424465,951 955 950,,,,,,,,,,,,,,,,,,,,2013-06-07 19:59:23
Banco de Tiempo de Málaga Este - El Palo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Bolivia, 63",,"C/ Bolivia, 63 ",29012,"C/ Bolivia, 63 29012",Málaga,Málaga,,Andalucía,,,,,36.7216922,-4.3778139,952 294 577,,,,,,,,,,,,,,,,,,,,2013-07-08 09:44:35
Banco de Tiempo de Malasaña,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Malasaña,Madrid,,Comunidad de Madrid,,,,,40.380267,-3.6212297,,,,info@bancodetiempomalasana.com,,,,,,,,,,,,,,,,,2014-07-22 21:01:45
Banco de Tiempo de Manoteras,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de las Cuevas de Almanzora, 46",,"C/ de las Cuevas de Almanzora, 46 ",28033,"C/ de las Cuevas de Almanzora, 46 28033",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4783479,-3.6577244,917 660 866,,,info@bdtmanoteras.org,,,,,,,,,,,,,,,,,2013-06-07 19:59:36
Banco de Tiempo de Marbella,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Jeddah, 4 bjos.",,"C/ Jeddah, 4 bjos. ",29601,"C/ Jeddah, 4 bjos. 29601",Marbella,Málaga,,Andalucía,,,,,36.5135952,-4.8870764,952 765 193,,,bancodeltiempo.ms@marbella.es,,,,,,,,,,,,,,,,,2013-06-07 19:59:40
